== beautiful/frigate/lod0  voxel=0.06  triangles=48732  cells=311014
main  cells=310471  x[ -6.24,  6.24]  y[ -5.16,  5.16]  z[-15.30, 14.52]
FLOAT cells=   113  x[ -2.16, -1.86]  y[ -1.14, -0.78]  z[  2.40,  2.70]
FLOAT cells=   106  x[ -1.26, -0.96]  y[ -0.54, -0.24]  z[ -0.36,  0.00]
FLOAT cells=    69  x[  0.42,  0.66]  y[ -0.48, -0.24]  z[ -0.60, -0.36]
FLOAT cells=    28  x[  1.74,  1.92]  y[ -0.42, -0.30]  z[  5.76,  5.94]
FLOAT cells=    28  x[ -1.92, -1.74]  y[ -0.42, -0.30]  z[  5.76,  5.94]
FLOAT cells=    28  x[ -2.52, -2.34]  y[ -2.34, -2.22]  z[  7.80,  7.92]
FLOAT cells=    26  x[  2.58,  2.70]  y[ -1.08, -0.96]  z[  5.76,  5.94]
FLOAT cells=    26  x[ -0.06,  0.06]  y[ -0.12,  0.00]  z[  5.76,  5.94]
FLOAT cells=    25  x[ -2.70, -2.58]  y[ -1.08, -0.96]  z[  5.76,  5.94]
FLOAT cells=    25  x[ -0.06,  0.06]  y[ -1.98, -1.86]  z[  5.76,  5.94]
FLOAT cells=    24  x[ -1.92, -1.80]  y[ -1.74, -1.62]  z[  5.76,  5.94]
FLOAT cells=    24  x[  1.80,  1.92]  y[ -1.74, -1.62]  z[  5.76,  5.94]
FLOAT cells=    21  x[ -0.06,  0.06]  y[ -0.24, -0.12]  z[  7.80,  7.92]
probe-ship-islands: 13 FLOATING PART GROUP(S)
